sRGB_R,sRGB_G,sRGB_B,RGB_R,RGB_G,RGB_B,HSV_H,HSV_S,HSV_V,HSL_H,HSL_S,HSL_L,CMY_C,CMY_M,CMY_Y,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CIERGB_R,CIERGB_G,CIERGB_B,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,CIELuv_L,CIELuv_u,CIELuv_v,CIELab_L,CIELab_a,CIELab_b,CIELCh_L,CIELCh_C,CIELCh_h
63,127,63,0.24705882,0.49803922,0.24705882,120.0,0.503937,0.49803922,120.0,0.33684212,0.37254903,0.7529412,0.5019608,0.7529412,0.503937,0.0,0.503937,0.5019608,0.06595899,0.1889427,0.07233932,0.10536001,0.16593878,0.07350536,0.3055648,0.48125517,0.16593878,47.74419,-36.89577,26.357037,47.74419,-35.71917,20.58311,47.74419,41.22528,150.04738
63,127,95,0.24705882,0.49803922,0.37254903,150.0,0.503937,0.49803922,150.0,0.33684212,0.37254903,0.7529412,0.5019608,0.627451,0.503937,0.0,0.2519685,0.5019608,0.06059461,0.19505087,0.13442592,0.11704231,0.1706117,0.13503216,0.27690122,0.4036368,0.1706117,48.337017,-35.956593,6.442614,48.337017,-29.747335,1.5324265,48.337017,29.786781,177.05103
63,127,127,0.24705882,0.49803922,0.49803922,180.0,0.503937,0.49803922,180.0,0.33684212,0.37254903,0.7529412,0.5019608,0.5019608,0.503937,0.0,0.0,0.5019608,0.05248985,0.20427938,0.22822933,0.1346925,0.17767178,0.22798982,0.2492671,0.3288062,0.17767178,49.212494,-34.8711,-18.599466,49.212494,-21.654293,-17.826582,49.212494,28.048092,219.46242
63,127,159,0.24705882,0.49803922,0.62352943,200.0,0.6037736,0.62352943,200.0,0.43243244,0.43529412,0.7529412,0.5019608,0.3764706,0.6037736,0.20125785,0.0,0.3764706,0.04134542,0.21696903,0.35721347,0.15896235,0.18737972,0.35581103,0.22639272,0.26686448,0.18737972,50.379227,-33.8319,-46.07071,50.379227,-11.9532585,-36.648758,50.379227,38.548824,251.93588
63,127,191,0.24705882,0.49803922,0.7490196,210.0,0.6701571,0.7490196,210.0,0.503937,0.49803922,0.7529412,0.5019608,0.2509804,0.6701571,0.33507854,0.0,0.2509804,0.02690107,0.23341614,0.52439046,0.19041862,0.19996223,0.52148074,0.20882404,0.21929011,0.19996223,51.83294,-32.984875,-73.81231,51.83294,-1.2118016,-54.676067,51.83294,54.689495,268.73035
63,127,223,0.24705882,0.49803922,0.8745098,216.0,0.71748877,0.8745098,216.0,0.71428573,0.56078434,0.7529412,0.5019608,0.1254902,0.71748877,0.43049327,0.0,0.1254902,0.008924326,0.25388542,0.7324509,0.22956757,0.2156218,0.72766525,0.19573404,0.1838436,0.2156218,53.559357,-32.40722,-100.55402,53.559357,10.071215,-71.8587,53.559357,72.56103,277.9782
63,127,255,0.24705882,0.49803922,1.0,220.0,0.7529412,1.0,220.0,1.0,0.62352943,0.7529412,0.5019608,0.0,0.7529412,0.5019608,0.0,0.0,0.0,0.27861765,0.9838421,0.2768697,0.23454267,0.97678983,0.18604307,0.15760134,0.23454267,55.5372,-32.11929,-125.774536,55.5372,21.516062,-88.22607,55.5372,90.81178,283.70544
63,159,0,0.24705882,0.62352943,0.0,96.22642,1.0,0.62352943,96.22642,1.0,0.31176472,0.7529412,0.3764706,1.0,0.6037736,0.0,1.0,0.3764706,0.09005835,0.29808193,0.039702386,0.14447448,0.25852144,0.042286184,0.32445607,0.58057904,0.25852144,57.89644,-52.594143,54.70876,57.89644,-52.95086,53.120827,57.89644,75.004105,134.90819
63,159,31,0.24705882,0.62352943,0.12156863,105.0,0.8050314,0.62352943,105.0,0.67368424,0.37254903,0.7529412,0.3764706,0.8784314,0.6037736,0.0,0.8050314,0.3764706,0.08892279,0.29937494,0.052845154,0.14694743,0.25951064,0.055310454,0.3182275,0.5619929,0.25951064,57.99057,-52.314198,50.725826,57.99057,-51.84992,46.327805,57.99057,69.53186,138.21927
63,159,63,0.24705882,0.62352943,0.24705882,120.0,0.6037736,0.62352943,120.0,0.43243244,0.43529412,0.7529412,0.3764706,0.7529412,0.6037736,0.0,0.6037736,0.3764706,0.08593893,0.30277252,0.08737995,0.15344556,0.26210988,0.08953387,0.30379885,0.5189377,0.26210988,58.23678,-51.617245,40.701042,58.23678,-49.03106,32.603294,58.23678,58.8814,146.378
